ROL, Name,City,State,Website,FREIDA,Address,Lat,Long,leaflet-marker-code,ACGME Number,PD,Email,Phone,Date Applied to,Specific Features,Letter of Interest Sent,Interview Invite,Interview Invite Date Decision,Travel?,Interview Date,Thank You Note Follow up,Thank you sent?,Email Follow up - Interest,Email Sent?,Location,Distance,Reputation,Research,Lifestyle,Teaching Emphasis,Gut Feel,ROL Score,Notes
0,Cedars-Sinai Medical Center ,Los Angeles,CA,[link],[link],"Cedars-Sinai Med Ctr
 #8215 NT
 8700 Beverly Blvd
 Los Angeles, CA 90048",34.07515,-118.380277,"L.marker([34.075153, -118.380277]).addTo(mymap).bindPopup('Cedars-Sinai Medical Center Program').openPopup();",1030440C0,Dr. Donald Dafoe MD,van.chau@cshs.org,3104236637,09/20/2016,,,,,,,,,,,5,0,0,0,0,0,0,5,
0,Cleveland Clinic Foundation ,Cleveland,OH,[link],[link],"Cleveland Clinic
 Dept of General Surgery A100
 9500 Euclid Ave
 Cleveland, OH 44195",41.50152,-81.620804,"L.marker([41.50152, -81.620804]).addTo(mymap).bindPopup('Cleveland Clinic Foundation Program').openPopup();",1968440C0,Jeffrey Ponsky MD,surged@ccf.org,2164441754,09/20/2016,,,,,,,,,,,9,1,10,9,5,7,8,47,
0,Dartmouth-Hitchcock Medical Center ,Lebanon,NH,[link],[link],"Dartmouth-Hitchcock Med Ctr
 Dept of Surgery
 One Medical Center Dr
 Lebanon, NH 03756",43.68089,-72.273081,"L.marker([43.680893, -72.273081]).addTo(mymap).bindPopup('Dartmouth-Hitchcock Medical Center Program').openPopup();",1377440C0,Paul H. Kispert MD,karen.g.lee@hitchcock.org,6036507692,09/20/2016,,,,,,,,,,,5,3,0,0,0,0,0,2,
-99,Detroit Medical Center/Wayne State University ,Detroit,MI,[link],[link],"Detroit Med Ctr/Wayne State Univ
 Dept of Surgery 6-C UHC
 4201 St Antoine Blvd
 Detroit, MI 48201",42.35341,-83.054817,"L.marker([42.353405, -83.054817]).addTo(mymap).bindPopup('Detroit Medical Center/Wayne State University Program').openPopup();",1295440C0,James G Tyburski MD,dcoole@med.wayne.edu,3135775009,09/20/2016,-,-,No,10/25/2016,-,-,TODO,,,,6,3,0,0,0,0,0,3,"""Thank you for applying to the Department of Surgery at Wayne State University/Detroit Medical Center.  We receive a high number of applications and are limited with the number of interview slots available.  We regret to inform you that we are unable to invite you for an interview at this time."""
0,Drexel University College of Medicine/Hahnemann University Hospital ,Philadelphia,PA,[link],[link],"Hahnemann Univ Hosp
 Dept of Surgery Mail Stop 413
 245 N 15th St
 Philadelphia, PA 19102",39.95756,-75.163744,"L.marker([39.957556, -75.163744]).addTo(mymap).bindPopup('Drexel University College of Medicine/Hahnemann University Hospital Program').openPopup();",1849440C0,Andres Castellanos MD,astein@drexelmed.edu,2157623585,09/20/2016,,,,,,,,,,,6,0,0,0,0,0,0,6,
0,Duke University Hospital ,Durham,NC,[link],[link],"Duke Univ Med Ctr
 Dept of Surgery
 Box 3443
 Durham, NC 27710",36.00381,-78.938724,"L.marker([36.003813, -78.938724]).addTo(mymap).bindPopup('Duke University Hospital Program').openPopup();",1529440C0,John Migaly MD,tammy.watson@duke.edu,9196813816,09/20/2016,,,,,,,,,,,5,3,8,8,0,0,0,18,
0,Emory University ,Atlanta,GA,[link],[link],"Emory Univ Hosp
 H100 Office of Surgical Education
 1364 Clifton Rd NE
 Atlanta, GA 30322",33.79211,-84.32216,"L.marker([33.792111, -84.32216]).addTo(mymap).bindPopup('Emory University Program').openPopup();",1113440C0,Keith A. Delman MD,emorygeneralsurgery@emory.edu,4047270093,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,George Washington University ,Washington,DC,[link],[link],"George Washington Univ Med Ctr
 Dept of Surgery Ste 6B
 2150 Pennsylvania Ave NW
 Washington, DC 20037",38.90119,-77.048511,"L.marker([38.901192, -77.048511]).addTo(mymap).bindPopup('George Washington University Program').openPopup();",1802440C0,Paul P Lin MD,rpakan@mfa.gwu.edu,2027413157,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Georgetown University Hospital ,Washington,DC,[link],[link],"Georgetown Univ Hosp
 Office of Surgical Educ 2 Gorman Bldg
 3800 Reservoir Rd NW
 Washington, DC 20007",38.91145,-77.075275,"L.marker([38.911453, -77.075275]).addTo(mymap).bindPopup('Georgetown University Hospital Program').openPopup();",1801440C0,Alfred Chahine M.D.,AAC4@gunet.georgetown.edu,2024441233,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Henry Ford Hospital/Wayne State University ,Detroit,MI,[link],[link],"Henry Ford Hosp
 General Surgery Pgm
 2799 W Grand Blvd
 Detroit, MI 48202",42.3672,-83.085192,"L.marker([42.367196, -83.085192]).addTo(mymap).bindPopup('Henry Ford Hospital/Wayne State University Program').openPopup();",1300440C0,Ann M. Woodward M.D.,awoodwa1@hfhs.org,3139163056,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Hofstra Northwell School of Medicine at Lenox Hill Hospital ,New York,NY,[link],[link],"Hofstra Northwell Sch of Med
 2nd Fl Dept of Surgery
 270-05 76th Ave
 New Hyde Park, NY 11040",40.75303,-73.707121,"L.marker([40.753029, -73.707121]).addTo(mymap).bindPopup('Hofstra Northwell School of Medicine at Lenox Hill Hospital Program').openPopup();",1700440C1,Dr. Parswa Ansari MD,jvelez2@northwell.edu,2124342150,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Icahn School of Medicine at Mount Sinai (Beth Israel) ,New York,NY,[link],[link],"Mount Sinai Beth Israel
 Dept of Surgery
 First Ave at 16th St
 New York, NY 10003",40.73496,-73.987015,"L.marker([40.734957, -73.987015]).addTo(mymap).bindPopup('Icahn School of Medicine at Mount Sinai (Beth Israel) Program').openPopup();",1470440C0,Burton G Surick MD,bsurick@chpnet.org,2124204340,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Icahn School of Medicine at Mount Sinai ,New York,NY,[link],[link],"Icahn Sch of Med at Mount Sinai
 Dept of Surgery Box 1259
 5 E 98th St
 New York, NY 10029",40.78906,-73.953856,"L.marker([40.789064, -73.953856]).addTo(mymap).bindPopup('Icahn School of Medicine at Mount Sinai Program').openPopup();",1490440C0,"Dr. Celia M. Divino MD, FACS",andre.henry@mountsinai.org,2122415871,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
-99,Icahn School of Medicine at Mount Sinai/St Luke’s-Roosevelt Hospital Center ,New York,NY,[link],[link],"Mount Sinai West
 Ste 2B
 1000 Tenth Ave
 New York, NY 10019",40.76972,-73.98688,"L.marker([40.769717, -73.98688]).addTo(mymap).bindPopup('Icahn School of Medicine at Mount Sinai/St Luke’s-Roosevelt Hospital Center Program').openPopup();",2070440C0,Grace J. Kim MD,Jgalvis@chpnet.org,2125236970,09/20/2016,-,-,No,10/24/2016,-,-,TODO,,,,0,0,0,0,0,0,0,0,"Dear Candidate:

Thank you for applying to the General Surgery Residency at Mount Sinai St. Luke’s Roosevelt. We have reviewed your application and congratulate you on all your achievements. We sincerely regret that we will be unable to offer you an interview for this recruitment year.

We thank you for your interest in our program and wish you continued success as you continue your training.




Sincerely,


Grace Kim, MD, FACS; Program Director


Jessica Galvis, MPA; Program Manager"
0,Jackson Memorial Hospital/Jackson Health System ,Miami,FL,[link],[link],"Jackson Memorial Hosp
 Dept of Surgery R310
 PO Box 016310
 Miami, FL 33101",25.77833,-80.199014,"L.marker([25.778325, -80.199014]).addTo(mymap).bindPopup('Jackson Memorial Hospital/Jackson Health System Program').openPopup();",1104440C0,Danny Sleeman MD,gsprogrm@med.miami.edu,3055851280,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Johns Hopkins University ,Baltimore,MD,[link],[link],"Johns Hopkins Univ Sch of Med
 Dept of Surgery Osler 603
 600 N Wolfe St
 Baltimore, MD 21287",39.29725,-76.592212,"L.marker([39.297245, -76.592212]).addTo(mymap).bindPopup('Johns Hopkins University Program').openPopup();",1242440C0,Dr. Pamela A. Lipsett,plipsett@jhmi.edu,4109556796,09/20/2016,,,,,,,,,,,6,2,10,10,5,10,8,47,
0,Lincoln Medical and Mental Health Center ,Bronx,NY,[ ],[link],"Lincoln Med Ctr
 Ste 620
 234 E 149th St
 Bronx, NY 10451",40.81689,-73.924441,"L.marker([40.81689, -73.924441]).addTo(mymap).bindPopup('Lincoln Medical and Mental Health Center Program').openPopup();",1484440C0,Dr. Valerie L. Katz MD,roxanne.gonzalez@nychhc.org,7185795900,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
-99,Los Angeles County-Harbor-UCLA Medical Center ,Torrance,CA,[link],[link],"Los Angeles County-Harbor-UCLA Med Ctr
 Dept of Surgery Box 461
 1000 W Carson St
 Torrance, CA 90509",33.83073,-118.291845,"L.marker([33.830725, -118.291845]).addTo(mymap).bindPopup('Los Angeles County-Harbor-UCLA Medical Center Program').openPopup();",1067440C0,Angela L. Neville MD,rmmorison@labiomed.org,3102222700,09/20/2016,,,No,11/2/2016,,,TODO,,,,7,6,0,0,0,0,0,1,"""Dear General Surgery Applicant,

We wish to inform you that we have concluded our review of applications this for this Match season and extend our sincere regrets that you were not selected to interview for a General Surgery Residency position at Harbor-UCLA Medical Center.  
We extend our best wishes for your success in this Match season and in your future career.
Sincerely,
----
Roxanne Morrison and Yazmin Lona
Surgery Residency Coordinators
Harbor-UCLA Medical Center
Torrance, California 90509"""
0,Loyola University ,Maywood,IL,[link],[link],"Loyola Univ Med Ctr
 Dept of Surgery
 2160 S First Ave
 Maywood, IL 60153",41.86051,-87.835113,"L.marker([41.860507, -87.835113]).addTo(mymap).bindPopup('Loyola University Program').openPopup();",1170440C0,Constantine Godellas MD,ADRIANA.OHL@LUHS.ORG,7083273436,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Maimonides Medical Center ,Brooklyn,NY,[link],[link],"Maimonides Med Ctr
 Dept of Surgery
 4802 Tenth Ave
 Brooklyn, NY 11219",40.63943,-73.998372,"L.marker([40.639431, -73.998372]).addTo(mymap).bindPopup('Maimonides Medical Center Program').openPopup();",1428440C0,Dr. Loren J. Harris MD,schauhan@maimonidesmed.org,7182837683,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
-99,Massachusetts General Hospital ,Boston,MA,[link],[link],"Massachusetts General Hosp
 Surgical Pgm GRB 425
 55 Fruit St
 Boston, MA 02114",42.36315,-71.068833,"L.marker([42.363154, -71.068833]).addTo(mymap).bindPopup('Massachusetts General Hospital Program').openPopup();",1261440C0,John T. Mullen M.D.,lparker2@partners.org,6177262800,09/20/2016,-,-,No,10/25/2016,-,-,TODO,,,,9,1,10,10,0,0,0,28,"""Dear Applicant:

We have reviewed your application for a categorical position in our General Surgery Residency Program at the Massachusetts General Hospital.  I regret to inform you that we will be unable to offer you an interview.

We thank you for your interest in our program and wish you every success in your future career in surgery.

Sincerely,

John Mullen, M.D.
Program Director, General Surgery Residency
Massachusetts General Hospital"""
0,Mayo Clinic College of Medicine (Jacksonville) ,Jackonville,FL,[link],[link],"Mayo Clinic Jacksonville
 Surgery Pgm
 4500 San Pablo Rd
 Jacksonville, FL 32224",30.26279,-81.441349,"L.marker([30.262791, -81.441349]).addTo(mymap).bindPopup('Mayo Clinic College of Medicine (Jacksonville) Program').openPopup();",1032440C0,Sarah McLaughlin M.D.,mclaughlin.sarah@mayo.edu,9049530424,09/20/2016,,,,,,,,,,,0,4,0,0,0,0,0,-4,
-99,Mayo Clinic College of Medicine (Rochester) ,Rochester,MN,[link],[link],"Mayo Clinic
 Surgery Pgm West 12
 200 First St SW
 Rochester, MN 55905",44.02255,-92.46666,"L.marker([44.022548, -92.46666]).addTo(mymap).bindPopup('Mayo Clinic College of Medicine (Rochester) Program').openPopup();",1328440C0,Stephanie F. Heller M.D.,heller.stephanie@mayo.edu,5072848240,09/20/2016,,,No,10/31/2016,,,TODO,,,,0,0,0,0,0,0,0,0,"""Thank you for your interest in the general surgery residency training programs at the Mayo Clinic in Rochester, Minnesota.  We have received a large number of applicants and are unable to grant interviews to all applicants.  I regret to inform you that we are unable to offer you an interview for the program(s) you applied to:
 
General Surgery (Categorical)
Joint Gen & Thoracic Surg (Categorical)
Gen Surg/Integrated Comm & Rural (Categorical)
Surgery-Preliminary (Preliminary)

Interviews for all of these programs have been filled. 

Thank you again for your interest in our training programs.  I wish you success in your pursuit of further surgical education.
 
Sincerely,
 
Stephanie F. Heller, M.D.
Program Director, General Surgery
Residency Training Program"""
-99,McGaw Medical Center of Northwestern University ,Chicago,IL,[link],[link],"McGaw Med Ctr Northwestern Univ
 Ste 650
 676 N St Clair St
 Chicago, IL 60611",41.89458,-87.623171,"L.marker([41.894583, -87.623171]).addTo(mymap).bindPopup('McGaw Medical Center of Northwestern University Program').openPopup();",2247440C0,Shari L Meyerson MD,surged@nmh.org,3129269404,09/20/2016,,,No,10/20/2016,,,TODO,,,,0,0,0,0,0,0,0,0,
0,Medical University of South Carolina ,Charleston,SC,[link],[link],"Med Univ of South Carolina
 Rm 417-D CSB MSC 613
 96 Jonathan Lucas St
 Charleston, SC 29425",32.78437,-79.94715,"L.marker([32.78437, -79.94715]).addTo(mymap).bindPopup('Medical University of South Carolina Program').openPopup();",1680440C0,Christian J Streck MD,wethersf@musc.edu,8437923072,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Michigan State University ,Lansing,MI,[link],[link],"Sparrow Hosp
 Dept of Surgery Ste 655
 1200 E Michigan Ave
 Lansing, MI 48912",42.7332,-84.534333,"L.marker([42.733196, -84.534333]).addTo(mymap).bindPopup('Michigan State University Program').openPopup();",2436440C0,Robert L. Osmer M.D.,robert.osmer@hc.msu.edu,5172672047,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Montefiore Medical Center/Albert Einstein College of Medicine ,Bronx,NY,,[link],"Montefiore Med Ctr
 Dept of Pediatric Surgery
 111 E 210th St
 Bronx, NY 10467",40.88009,-73.87982,"L.marker([40.880093, -73.87982]).addTo(mymap).bindPopup('Montefiore Medical Center/Albert Einstein College of Medicine Program').openPopup();",3153440C0,Mindy B Statter M.D.,mstatter@montefiore.org,7189207288,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,New York Presbyterian Hospital (Columbia Campus) ,New York,NY,[link],[link],"NewYork-Presbyterian/Columbia Univ Med Ctr
 Milstein Hosp 7GS-313
 177 Fort Washington Ave
 New York, NY 10032",40.84152,-73.942993,"L.marker([40.841516, -73.942993]).addTo(mymap).bindPopup('New York Presbyterian Hospital (Columbia Campus) Program').openPopup();",1495440C0,Tracey D. Arnell M.D.,mh487@cumc.columbia.edu,2123053038,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,New York Presbyterian Hospital (Cornell Campus) ,New York,NY,[link],[link],"NewYork-Presbyterian/Weill Cornell Med Ctr
 Dept of Surgery Box 207
 525 E 68th St
 New York, NY 10065",40.7644,-73.95393,"L.marker([40.764396, -73.95393]).addTo(mymap).bindPopup('New York Presbyterian Hospital (Cornell Campus) Program').openPopup();",1492440C0,Dr. Anthony C Watkins MD,mab2068@med.cornell.edu,2127465380,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,New York University School of Medicine ,New York,NY,[link],[link],"New York Univ Med Ctr
 NB 15 N1
 550 First Ave
 New York, NY 10016",40.74207,-73.974335,"L.marker([40.74207, -73.974335]).addTo(mymap).bindPopup('New York University School of Medicine Program').openPopup();",2978440C0,Russell S Berman MD,russell.berman@med.nyu.edu,2122636378,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Ohio State University Hospital ,Columbus,OH,[link],[link],"Ohio State Univ Wexner Med Ctr
 Dept of Surgery Rm 680
 395 W 12th Ave
 Columbus, OH 43210",39.99562,-83.017674,"L.marker([39.995618, -83.017674]).addTo(mymap).bindPopup('Ohio State University Hospital Program').openPopup();",1566440C0,Dr. Alan E. Harzman MD,beth.hanson@osumc.edu,6142938704,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Penn State Milton S Hershey Medical Center ,Hershey,PA,[link],[link],"Penn State Hershey Med Ctr
 PO Box 850 H159
 500 University Dr
 Hershey, PA 17033",40.26404,-76.676678,"L.marker([40.264038, -76.676678]).addTo(mymap).bindPopup('Penn State Milton S Hershey Medical Center Program').openPopup();",1617440C0,David C. Han M.D.,dhan@hmc.psu.edu,7175318557,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,KL,Chicago,IL,[link],[link],"Rush Univ Med Ctr
 Ste 785
 1750 W Harrison St
 Chicago, IL 60612",41.87433,-87.670592,"L.marker([41.874328, -87.670592]).addTo(mymap).bindPopup('Rush University Medical Center Program').openPopup();",1147440C0,Edie Y. Chan M.D.,danielle_c_hill@rush.edu,3129426510,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Rutgers Robert Wood Johnson Medical School ,New Brunswick,NJ,[link],[link],"Rutgers Robert Wood Johnson Med Sch
 Surgery MEB 448 PO Box 19
 51 French St
 New Brunswick, NJ 08903-0019",40.49508,-74.449385,"L.marker([40.495082, -74.449385]).addTo(mymap).bindPopup('Rutgers Robert Wood Johnson Medical School Program').openPopup();",2918440C0,Dr. Nell Maloney Patel,rwjp-residency-gensurg@rwjms.rutgers.edu,7322357674,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,St Louis University School of Medicine ,St. Louis,MO,[link],[link],"St Louis Univ Sch of Med
 PO Box 15250
 3635 Vista Ave
 St Louis, MO 63110",38.62293,-90.238766,"L.marker([38.622926, -90.238766]).addTo(mymap).bindPopup('St Louis University School of Medicine Program').openPopup();",1365440C0,Catherine Wittgen MD,fornerkd@slu.edu,3145778317,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
-99,Stanford University ,Stanford,CA,[link],[link],"Stanford Univ Med Ctr
 Surgery Pgm H3691
 300 Pasteur Dr
 Stanford, CA 94305",37.43312,-122.175379,"L.marker([37.433119, -122.175379]).addTo(mymap).bindPopup('Stanford University Program').openPopup();",1820440C0,Marc Melcher M.D.,anita.hagan@stanford.edu,6507252181,09/20/2016,-,-,No,10/27/2016,-,-,TODO,,,,0,0,0,0,0,0,0,0,"""Dear Applicant,
 
Thank you so much for your strong interest in our General Surgery program.
 
This year's pool of applicants has been super strong and we can only interview a limited number of candidates.
 
At this time all the interview slots are full; we will notify you of any changes in your application status.
 
 
Best wishes,"
-99,Stony Brook Medicine/University Hospital ,Stony Brook,NY,[link],[link],"Stony Brook Medicine
 Dept of Surgery T-19 090
 Nicolls Rd
 Stony Brook, NY 11794",40.90422,-73.116515,"L.marker([40.90422, -73.116515]).addTo(mymap).bindPopup('Stony Brook Medicine/University Hospital Program').openPopup();",2919440C0,"Richard Scriven MD, FACS",Deborah.Thornton@stonybrookmedicine.edu,6314441791,09/20/2016,-,-,No,11/1/2016,-,-,TODO,,,,0,0,0,0,0,0,0,0,"""Dear Doctor,
              We have reviewed your ERAS application for a residency position with the Department of Surgery in the State University of New York at Stony Brook for July, 2017.
                Our Residency Review Committee has carefully screened your application.  Although you have a good application, we have reviewed an extraordinarily large volume of well-qualified surgical candidates for the academic year 2016-2017.
              In view of this, we will not be extending an invitation to you for an interview.  We will keep your ERAS application throughout the recruitment period.  In the event you have a scheduled appointment and believe that you got this in error, please contact me. 
                Thank you for your interest in our program and we wish you the very best in your pursuit of a career in medicine and surgery. 
Sincerely,
Richard Scriven , MD
Program Director, General Surgery"""
0,SUNY Health Science Center at Brooklyn ,Brooklyn,NY,[link],[link],"SUNY Downstate Med Ctr
 Dept of Surgery Box 40
 450 Clarkson Ave
 Brooklyn, NY 11203",40.65525,-73.945734,"L.marker([40.655246, -73.945734]).addTo(mymap).bindPopup('SUNY Health Science Center at Brooklyn Program').openPopup();",1426440C0,"Lisa S. Dresner M.D., FACS",natasha.sagal@downstate.edu,7182703302,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,SUNY Upstate Medical University ,Syracuse,NY,[link],[link],"SUNY Upstate Med Univ
 Dept of Surgery
 750 E Adams St
 Syracuse, NY 13210",43.04186,-76.139834,"L.marker([43.041864, -76.139834]).addTo(mymap).bindPopup('SUNY Upstate Medical University Program').openPopup();",1516440C0,Andreas H. Meier MD,liberatk@upstate.edu,3154647261,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Swedish Medical Center/First Hill ,Seattle,WA,[link],[link],"Swedish Med Ctr-First Hill
 General Surgery Pgm Ste WW 739
 747 Broadway
 Seattle, WA 98122",47.60886,-122.322088,"L.marker([47.608859, -122.322088]).addTo(mymap).bindPopup('Swedish Medical Center/First Hill Program').openPopup();",1755440C0,Marc D. Horton MD,surgeryresidencyap@swedish.org,2062154253,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Temple University Hospital ,Philadelphia,PA,[link],[link],"Temple Univ Hosp
 Surgery Pgm
 3401 N Broad St
 Philadelphia, PA 19140",40.00529,-75.150744,"L.marker([40.005294, -75.150744]).addTo(mymap).bindPopup('Temple University Hospital Program').openPopup();",1646440C0,Dr. Howard Ross M.D.,tuhsurg@tuhs.temple.edu,2157073632,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Tufts Medical Center ,Boston,MA,[link],[link],"Tufts Med Ctr
 Box 437
 800 Washington St
 Boston, MA 02111",42.34983,-71.063271,"L.marker([42.349832, -71.063271]).addTo(mymap).bindPopup('Tufts Medical Center Program').openPopup();",1263440C0,Jeffrey Cooper M.D.,acerulli@tuftsmedicalcenter.org,6176365891,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,Tulane University ,New Orleans,LA,[link],[link],"Tulane Univ Health Sciences Ctr
 Dept of Surgery SL22
 1430 Tulane Ave
 New Orleans, LA 70112",29.95504,-90.076877,"L.marker([29.95504, -90.076877]).addTo(mymap).bindPopup('Tulane University Program').openPopup();",3073440C0,James R. Korndorffer I MD,korndorffer@tulane.edu,5049882306,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,UCLA Medical Center ,Los Angeles,CA,[link],[link],"UCLA Med Ctr
 Dept of Surgery 72-227 CHS
 10833 Le Conte Ave
 Los Angeles, CA 90095",34.06589,-118.443361,"L.marker([34.065894, -118.443361]).addTo(mymap).bindPopup('UCLA Medical Center Program').openPopup();",1956440C0,Timothy Ryan Donahue MD,cquach@mednet.ucla.edu,3102069291,09/20/2016,,,,,,,,,,,0,0,0,0,0,0,0,0,
